Title, Author, Column, Publication, Published, URL
Students who paid six months' upfront rent 'just happy to find a home', Gus McCubbing, Renting, Australian Financial Review, 05-03-2023, https://www.afr.com/property/residential/students-who-paid-six-months-upfront-rent-just-happy-to-find-a-home-20230302-p5cot1
Why Wall Street’s biggest bear is worried about property and PE, James Thomson, Chanticleer, Australian Financial Review, 05-03-2023, https://www.afr.com/chanticleer/why-wall-street-s-biggest-bear-is-worried-about-property-and-pe-20230305-p5cpio
RBA to pilot 14 use cases for a digital $A, James Eyers, Cryptocurrencies, Australian Financial Review, 02-03-2023, https://www.afr.com/companies/financial-services/rba-to-pilot-14-use-cases-for-a-digital-a-20230302-p5coss
Adulthood now begins at 28 - welcome to the new life stages, Lucy Dean, Financial planning, Australian Financial Review, 28-02-2023, https://www.afr.com/wealth/personal-finance/adulthood-now-begins-at-28-welcome-to-the-new-life-stages-20230227-p5cnv1
RBA peak inches up to 4.4pc after hotter-than-expected US inflation, Cecile Lefort, Bonds, Australian Financial Review, 27-02-23, https://www.afr.com/markets/debt-markets/rba-peak-inches-up-to-4-4pc-after-hotter-than-expected-us-inflation-20230227-p5cnu6
China lithium probe shuts down chunk of global supply, Alfred Cang, Rare earths, Australian Financial Review, 28-02-2023, https://www.afr.com/world/asia/china-lithium-probe-shuts-down-chunk-of-global-supply-20230228-p5co2f
Why the new book about Macquarie doesn't have to be a racy thriller, Tony Boyd, Chanticleer, Australian Financial Review, 28-02-2023, https://www.afr.com/chanticleer/why-the-new-book-about-macquarie-doesn-t-have-to-be-a-racy-thriller-20230224-p5cnfl
Lendlease caught in UK's retrospective shocker, James Thomson, Chanticleer, Australian Financial Review, 27-02-23, https://www.afr.com/chanticleer/debt-laden-housing-market-leaves-apra-little-room-to-move-20230227-p5cnw6
Debt-laden housing market leaves APRA little room to move, James Thomson, Chanticleer, Australian Financial Review, 27-02-2023, https://www.afr.com/chanticleer/debt-laden-housing-market-leaves-apra-little-room-to-move-20230227-p5cnw6
ASX to drop as hot US inflation ignites recession fears, Alex Gluyas, Shares, Australian Financial Review, 26-02-2023, https://www.afr.com/markets/equity-markets/asx-to-drop-as-hot-us-inflation-ignites-recession-fears-20230226-p5cnmi
"How to deal with a midlife crisis, Millenial style", Mark Ellwood, Money & relationships, Australian Financial Review, 24-02-2023, https://www.afr.com/life-and-luxury/arts-and-culture/midlife-crisis-millennial-style-20230221-p5cmdm
S&P 500 drops 1.1pc as data bolsters case for higher rates, Timothy Moore, Wall Street, Australian Financial Review, 25-02-2023, https://www.afr.com/markets/equity-markets/s-and-p-500-drops-as-data-bolsters-case-for-higher-rates-20230225-p5cnir
Morningstar crowns world's top lithium stock plays, Tom Richardson, Sharemarket, Australian Financial Review, 23-02-2023, https://www.afr.com/markets/equity-markets/morningstar-crowns-world-s-top-lithium-stock-plays-20230223-p5cmy0
